ISBN13,Title,Authors,Format,Number of Pages,Read Status,Date Read,Date Added,Year Published,Star Rating,Average Rating,Moods,Pace,Genre
9781850000000.0,The Whip Hand,Victor Canning,paperback,256,to-read,,2020-01-21 00:00:00,2011,0.0,3.49,,,
9780530000000.0,Four Dead Queens,Astrid Scholte,hardcover,413,read,2019-07-15 00:00:00,2019-07-01 00:00:00,2019,3.75,3.8,adventurous,fast,Fantasy
9780530000000.0,Four Dead Queens,Astrid Scholte,hardcover,413,read,2019-07-15 00:00:00,2019-07-01 00:00:00,2019,3.75,3.8,mysterious,fast,Fantasy
9780530000000.0,Four Dead Queens,Astrid Scholte,hardcover,413,read,2019-07-15 00:00:00,2019-07-01 00:00:00,2019,3.75,3.8,adventurous,fast,Young Adult
9780530000000.0,Four Dead Queens,Astrid Scholte,hardcover,413,read,2019-07-15 00:00:00,2019-07-01 00:00:00,2019,3.75,3.8,mysterious,fast,Young Adult
9780530000000.0,Four Dead Queens,Astrid Scholte,hardcover,413,read,2019-07-15 00:00:00,2019-07-01 00:00:00,2019,3.75,3.8,adventurous,fast,Mystery
9780530000000.0,Four Dead Queens,Astrid Scholte,hardcover,413,read,2019-07-15 00:00:00,2019-07-01 00:00:00,2019,3.75,3.8,mysterious,fast,Mystery
9780530000000.0,Four Dead Queens,Astrid Scholte,hardcover,413,read,2019-07-15 00:00:00,2019-07-01 00:00:00,2019,3.75,3.8,adventurous,fast,Romance
9780530000000.0,Four Dead Queens,Astrid Scholte,hardcover,413,read,2019-07-15 00:00:00,2019-07-01 00:00:00,2019,3.75,3.8,mysterious,fast,Romance
9780530000000.0,Four Dead Queens,Astrid Scholte,hardcover,413,read,2019-07-15 00:00:00,2019-07-01 00:00:00,2019,3.75,3.8,adventurous,fast,Science Fiction
9780530000000.0,Four Dead Queens,Astrid Scholte,hardcover,413,read,2019-07-15 00:00:00,2019-07-01 00:00:00,2019,3.75,3.8,mysterious,fast,Science Fiction
9780530000000.0,Four Dead Queens,Astrid Scholte,hardcover,413,read,2019-07-15 00:00:00,2019-07-01 00:00:00,2019,3.75,3.8,adventurous,fast,Fiction
9780530000000.0,Four Dead Queens,Astrid Scholte,hardcover,413,read,2019-07-15 00:00:00,2019-07-01 00:00:00,2019,3.75,3.8,mysterious,fast,Fiction
9781620000000.0,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,hardcover,626,read,,2019-04-20 00:00:00,2016,5.0,4.63,dark,medium,Fantasy
9781620000000.0,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,hardcover,626,read,,2019-04-20 00:00:00,2016,5.0,4.63,emotional,medium,Fantasy
9781620000000.0,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,hardcover,626,read,,2019-04-20 00:00:00,2016,5.0,4.63,funny,medium,Fantasy
9781620000000.0,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,hardcover,626,read,,2019-04-20 00:00:00,2016,5.0,4.63,tense,medium,Fantasy
9781620000000.0,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,hardcover,626,read,,2019-04-20 00:00:00,2016,5.0,4.63,dark,medium,Romance
9781620000000.0,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,hardcover,626,read,,2019-04-20 00:00:00,2016,5.0,4.63,emotional,medium,Romance
9781620000000.0,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,hardcover,626,read,,2019-04-20 00:00:00,2016,5.0,4.63,funny,medium,Romance
9781620000000.0,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,hardcover,626,read,,2019-04-20 00:00:00,2016,5.0,4.63,tense,medium,Romance
9781620000000.0,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,hardcover,626,read,,2019-04-20 00:00:00,2016,5.0,4.63,dark,medium,New Adult
9781620000000.0,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,hardcover,626,read,,2019-04-20 00:00:00,2016,5.0,4.63,emotional,medium,New Adult
9781620000000.0,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,hardcover,626,read,,2019-04-20 00:00:00,2016,5.0,4.63,funny,medium,New Adult
9781620000000.0,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,hardcover,626,read,,2019-04-20 00:00:00,2016,5.0,4.63,tense,medium,New Adult
9781620000000.0,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,hardcover,626,read,,2019-04-20 00:00:00,2016,5.0,4.63,dark,medium,Fae
9781620000000.0,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,hardcover,626,read,,2019-04-20 00:00:00,2016,5.0,4.63,emotional,medium,Fae
9781620000000.0,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,hardcover,626,read,,2019-04-20 00:00:00,2016,5.0,4.63,funny,medium,Fae
9781620000000.0,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,hardcover,626,read,,2019-04-20 00:00:00,2016,5.0,4.63,tense,medium,Fae
9781620000000.0,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,hardcover,626,read,,2019-04-20 00:00:00,2016,5.0,4.63,dark,medium,Fiction
9781620000000.0,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,hardcover,626,read,,2019-04-20 00:00:00,2016,5.0,4.63,emotional,medium,Fiction
9781620000000.0,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,hardcover,626,read,,2019-04-20 00:00:00,2016,5.0,4.63,funny,medium,Fiction
9781620000000.0,"A Court of Mist and Fury (A Court of Thorns and Roses, #2)",Sarah J. Maas,hardcover,626,read,,2019-04-20 00:00:00,2016,5.0,4.63,tense,medium,Fiction
9780370000000.0,"We Free the Stars (Sands of Arawiya, #2)",Hafsah Faizal,hardcover,592,to-read,,2019-12-19 00:00:00,2021,0.0,4.27,,,
9781970000000.0,"A Winter's Promise (The Mirror Visitor, #1)",Christelle Dabos,audio,492,to-read,,2019-12-28 00:00:00,2018,0.0,4.07,,,
9781620000000.0,"Queen of Shadows (Throne of Glass, #4)",Sarah J. Maas,hardcover,648,read,,2019-04-20 00:00:00,2015,5.0,4.56,adventurous,medium,Fantasy
9781620000000.0,"Queen of Shadows (Throne of Glass, #4)",Sarah J. Maas,hardcover,648,read,,2019-04-20 00:00:00,2015,5.0,4.56,dark,medium,Fantasy
9781620000000.0,"Queen of Shadows (Throne of Glass, #4)",Sarah J. Maas,hardcover,648,read,,2019-04-20 00:00:00,2015,5.0,4.56,emotional,medium,Fantasy
9781620000000.0,"Queen of Shadows (Throne of Glass, #4)",Sarah J. Maas,hardcover,648,read,,2019-04-20 00:00:00,2015,5.0,4.56,adventurous,medium,Young Adult
9781620000000.0,"Queen of Shadows (Throne of Glass, #4)",Sarah J. Maas,hardcover,648,read,,2019-04-20 00:00:00,2015,5.0,4.56,dark,medium,Young Adult
9781620000000.0,"Queen of Shadows (Throne of Glass, #4)",Sarah J. Maas,hardcover,648,read,,2019-04-20 00:00:00,2015,5.0,4.56,emotional,medium,Young Adult
9781620000000.0,"Queen of Shadows (Throne of Glass, #4)",Sarah J. Maas,hardcover,648,read,,2019-04-20 00:00:00,2015,5.0,4.56,adventurous,medium,Romance
9781620000000.0,"Queen of Shadows (Throne of Glass, #4)",Sarah J. Maas,hardcover,648,read,,2019-04-20 00:00:00,2015,5.0,4.56,dark,medium,Romance
9781620000000.0,"Queen of Shadows (Throne of Glass, #4)",Sarah J. Maas,hardcover,648,read,,2019-04-20 00:00:00,2015,5.0,4.56,emotional,medium,Romance
